Cents,Name(s),2,3,5,7,11,13,Numerator,Denominator,Tenney Height,Superparticular,Color Notation,FJS name,Tinas,Tredeks,Moria,Quartertones,Edo step 1,Edo step 2,Edo step 3,Edo step 4,Edo step 5,Edo step 6,Edo step 7,Edo step 8
2.35244956,,33,-12,-9,0,2,,1039382085632,1037970703125,79.84,,,,16.7,-1,,,,,,,,,,
2.36238479,"Parizek comma, petrma",3,0,2,0,1,-3,2200,2197,22.20,,,,,,,,,,,,,,,
2.37219352,,11,-13,2,3,-1,,17561600,17537553,48.13,,,,16.9,0,,,,,,,,,,
2.37643695,squbema,-3,6,0,-1,0,-1,729,728,19.02,Yes,,,,,,,,,,,,,,
2.42300116,septendecimal bridge comma,,,,,,,715,714,18.96,Yes,,,,,,,,,,,,,,
2.44016628,,31,3,-10,-2,-2,,57982058496,57900390625,71.51,,,,17.4,0,,,,,,,,,,
2.47852659,,5,4,-10,3,1,,9779616,9765625,46.44,,,,17.6,0,,,,,,,,,,
2.51048074,,34,-10,0,-4,-2,,17179869184,17154974529,68.00,,,,17.9,0,,,,,,,,,,
2.52315000,vavoom comma,-68,18,17,,,,93383,93247,136.00,,,,,,,,,,,,,,,
2.52612418,,-19,5,3,-1,2,,3675375,3670016,43.62,,,,18.0,1,,,,,,,,,,
2.54884105,,8,-9,0,1,1,,19712,19683,28.53,,,,18.1,0,,,,,,,,,,
2.56289000,island comma,2,-3,-2,0,0,2,676,675,18.80,Yes,,,,,,,,,,,,,,
2.56289321,island comma,,,,,,,676,675,18.80,Yes,,,,,,,,,,,,,,
2.67491807,,-20,7,-1,4,0,,5250987,5242880,44.65,,,,19.0,1,,,,,,,,,,
2.74523253,,-17,-6,9,2,0,,95703125,95551488,53.02,,,,19.5,1,,,,,,,,,,
2.77219000,tunbarsma comma,-4,-1,4,0,0,-1,625,624,18.57,Yes,,,,,,,,,,,,,,
2.81320529,,3,10,-3,-3,-1,,472392,471625,37.70,,,,20.0,1,,,,,,,,,,
2.81554699,'19-tone' comma,,,,,,,19073486328125,19042491875328,88.23,,,,,,,,,,,,,,,
2.81555000,"enneadeca comma, 19-tone-comma",-14,-19,19,,,,60923,60824,88.23,,,,,,,,,,,,,,,
2.83592215,,30,-4,-6,-1,-2,,1073741824,1071984375,60.00,,,,20.2,0,,,,,,,,,,
2.85156559,,-23,11,-3,2,2,,1050304563,1048576000,59.93,,,,20.3,1,,,,,,,,,,
2.87428246,,4,-3,-6,4,1,,422576,421875,37.38,,,,20.5,0,,,,,,,,,,
2.92188005,,-20,-2,7,0,2,,9453125,9437184,46.34,,,,20.8,1,,,,,,,,,,
3.00959677,,-22,13,6,-2,-2,,24911296875,24868028416,69.07,,,,21.4,2,,,,,,,,,,
3.01256967,,27,0,-8,-3,0,,134217728,133984375,54.00,,,,21.4,0,,,,,,,,,,
3.03231000,"wizardharry, undecimal schisma",5,-1,3,0,-3,,4000,3993,23.93,,,,,,,,,,,,,,,
3.03231363,undecimal schisma,,,,,,,4000,3993,23.93,,,,,,,,,,,,,,,
3.04795708,,-48,14,6,3,1,,281970969328125,281474976710656,96.00,,,,21.7,2,,,,,,,,,,
3.20896000,"swetisma, Swets' comma",2,3,1,-2,-1,,540,539,18.15,Yes,,,,,,,,,,,,,,
3.20896116,Swets' comma,,,,,,,540,539,18.15,Yes,,,,,,,,,,,,,,
3.20896116,,2,3,1,-2,-1,,540,539,18.15,Yes,,,22.8,1,,,,,,,,,,
3.23167802,,29,-11,-2,0,-2,,536870912,535869675,58.00,,,,23.0,0,,,,,,,,,,
3.24732146,,-24,4,1,3,2,,16808715,16777216,48.00,,,,23.1,1,,,,,,,,,,
3.33801000,"vishnuzma, Vishnu comma, semisuper",23,6,-14,,,,225827,225392,65.02,,,,,,,,,,,,,,,
3.33801108,Vishnu comma,,,,,,,6115295232,6103515625,65.02,,,,,,,,,,,,,,,
3.37801873,"undevicesimal comma, Boethius' comma",,,,,,,513,512,18.00,Yes,,,,,,,,,,,,,,
3.38560868,,-1,7,-1,-4,1,,24057,24010,29.11,,,,24.1,1,,,,,,,,,,
3.40535264,,-23,6,10,-1,-2,,7119140625,7105150976,65.46,,,,24.2,2,,,,,,,,,,
3.40832555,,26,-7,-4,-2,0,,67108864,66976875,52.00,,,,24.3,0,,,,,,,,,,
3.44371295,,-49,7,10,4,1,,564070869140625,562949953421312,98.00,,,,24.5,2,,,,,,,,,,
3.53440257,,-2,9,-5,1,-1,,137781,137500,34.14,,,,25.2,1,,,,,,,,,,
3.55711943,,25,-5,-8,3,-2,,11509170176,11485546875,66.84,,,,25.3,0,,,,,,,,,,
3.58200017,,-26,10,8,-3,0,,23066015625,23018340352,68.85,,,,25.5,2,,,,,,,,,,
3.58497307,,23,-3,-6,-4,2,,1015021568,1012921875,59.83,,,,25.5,0,,,,,,,,,,
3.60471703,,1,-4,5,-1,-1,,6250,6237,25.22,,,,25.7,1,,,,,,,,,,
3.61504587,Mercator's comma,,,,,,,19383245667680000000000000,19342813113834000000000000,168.00,,,,,,,,,,,,,,,
3.61505000,"Mercator's comma, 53-comma",-84,53,,,,,127999,127732,168.00,,,,,,,,,,,,,,,
3.64307733,,-25,-3,5,4,2,,907878125,905969664,59.51,,,,25.9,1,,,,,,,,,,
3.71105009,,-5,13,-7,-1,1,,17537553,17500000,48.12,,,,26.4,1,,,,,,,,,,
3.73079405,,-27,12,4,2,-2,,16275380625,16240345088,67.84,,,,26.5,2,,,,,,,,,,
3.73376696,,22,-1,-10,1,0,,29360128,29296875,49.61,,,,26.6,0,,,,,,,,,,
3.73376696,Freivald comma,,,,,,,29360128,29296875,49.61,,,,,,,,,,,,,,,
3.73377000,,22,-1,-10,1,,,101189,100971,49.61,,,,,,,,,,,,,,,
3.78136000,moctdel comma,-2,0,3,-3,1,,1375,1372,20.85,,,,,,,,,,,,,,,
3.78136455,moctdel,,,,,,,1375,1372,20.85,,,,,,,,,,,,,,,
3.78136455,,-2,0,3,-3,1,,1375,1372,20.85,,,,26.9,1,,,,,,,,,,
3.79187000,wadisma comma,-26,-1,1,9,,,63532,63393,55.17,,,,,,,,,,,,,,,
3.79187122,wadisma,,,,,,,201768035,201326592,55.17,,,,,,,,,,,,,,,
3.80408000,"garischisma, beta 2, septimal schisma",25,-14,0,-1,,,126201,125924,50.00,,,,,,,,,,,,,,,
3.80408142,,25,-14,0,-1,0,,33554432,33480783,50.00,,,,27.1,0,,,,,,,,,,
3.80408142,"Beta 2, septimal schisma",,,,,,,33554432,33480783,50.00,,,,,,,,,,,,,,,
3.93015844,,-3,2,-1,2,-1,,441,440,17.57,Yes,,,28.0,1,,,,,,,,,,
3.93015844,Werckmeister's undecimal septenarian schisma,,,,,,,441,440,17.57,Yes,,,,,,,,,,,,,,
3.93016000,"werckisma, Werckmeister's undecimal septenarian schisma",-3,2,-1,2,-1,,441,440,17.57,Yes,,,,,,,,,,,,,,
3.95287530,,24,-12,-4,4,-2,,40282095616,40190225625,70.46,,,,28.1,0,,,,,,,,,,
3.98072894,,22,-10,-2,-3,2,,507510784,506345175,57.83,,,,28.3,0,,,,,,,,,,
4.00047290,,0,-11,9,0,-1,,1953125,1948617,41.79,,,,28.5,1,,,,,,,,,,
4.09275000,cuthbert comma,0,0,-1,1,2,-2,847,845,19.45,,,,,,,,,,,,,,,
4.09275380,Cuthbert comma,,,,,,,847,845,19.45,,,,,,,,,,,,,,,
4.10680596,,-6,6,-3,0,1,,8019,8000,25.93,,,,29.2,1,,,,,,,,,,
4.12654992,,-28,5,8,3,-2,,32558203125,32480690176,69.84,,,,29.4,2,,,,,,,,,,
4.12952283,,21,-8,-6,2,0,,102760448,102515625,53.23,,,,29.4,0,,,,,,,,,,
